,证券代码,证券简称,信用评级,评级类型,评估机构,债项评级时间,投资等级,等级含义
87,041151014.IB,11京热电CP001,A-1,短期信用评级,联合资信评估有限公司,20111109,投资级,A-1级短期债为最高级短期债，其还本付息能力最强，安全性最高。
88,041151014.IB,11京热电CP001,A-1,短期信用评级,联合资信评估有限公司,20121226,投资级,A-1级短期债为最高级短期债，其还本付息能力最强，安全性最高。
89,041152004.IB,11四建CP002,A-1,短期信用评级,联合资信评估有限公司,20110726,投资级,A-1级短期债为最高级短期债，其还本付息能力最强，安全性最高。
90,041152004.IB,11四建CP002,A-1,短期信用评级,联合资信评估有限公司,20120720,投资级,A-1级短期债为最高级短期债，其还本付息能力最强，安全性最高。
91,041152007.IB,11红豆CP002,A-1,短期信用评级,联合资信评估有限公司,20110902,投资级,A-1级短期债为最高级短期债，其还本付息能力最强，安全性最高。
92,041152007.IB,11红豆CP002,A-1,短期信用评级,联合资信评估有限公司,20120802,投资级,A-1级短期债为最高级短期债，其还本付息能力最强，安全性最高。
93,041152008.IB,11招金CP001,A-1,短期信用评级,联合资信评估有限公司,20110615,投资级,A-1级短期债为最高级短期债，其还本付息能力最强，安全性最高。
94,041152009.IB,11杭州湾CP001,A-1,短期信用评级,联合资信评估有限公司,20110908,投资级,A-1级短期债为最高级短期债，其还本付息能力最强，安全性最高。
95,041152009.IB,11杭州湾CP001,A-1,短期信用评级,联合资信评估有限公司,20120423,投资级,A-1级短期债为最高级短期债，其还本付息能力最强，安全性最高。
96,041152010.IB,11粤橡胶CP001,A-1,短期信用评级,联合资信评估有限公司,20110315,投资级,A-1级短期债为最高级短期债，其还本付息能力最强，安全性最高。
97,041152011.IB,11阳光CP001,A-1,短期信用评级,联合资信评估有限公司,20111028,投资级,A-1级短期债为最高级短期债，其还本付息能力最强，安全性最高。
98,041152011.IB,11阳光CP001,A-1,短期信用评级,联合资信评估有限公司,20120920,投资级,A-1级短期债为最高级短期债，其还本付息能力最强，安全性最高。
99,041152013.IB,11正泰CP002,A-1,短期信用评级,联合资信评估有限公司,20110926,投资级,A-1级短期债为最高级短期债，其还本付息能力最强，安全性最高。
100,041152017.IB,11三福船舶CP001,A-1,短期信用评级,联合资信评估有限公司,20111028,投资级,A-1级短期债为最高级短期债，其还本付息能力最强，安全性最高。
101,041152017.IB,11三福船舶CP001,A-1,短期信用评级,联合资信评估有限公司,20120504,投资级,A-1级短期债为最高级短期债，其还本付息能力最强，安全性最高。
102,041152019.IB,11长虹CP003,A-1,短期信用评级,联合资信评估有限公司,20111206,投资级,A-1级短期债为最高级短期债，其还本付息能力最强，安全性最高。
103,041152019.IB,11长虹CP003,A-1,短期信用评级,联合资信评估有限公司,20120831,投资级,A-1级短期债为最高级短期债，其还本付息能力最强，安全性最高。
104,041153005.IB,11永辉CP001,A-1,短期信用评级,联合资信评估有限公司,20111018,投资级,A-1级短期债为最高级短期债，其还本付息能力最强，安全性最高。
105,041153005.IB,11永辉CP001,A-1,短期信用评级,联合资信评估有限公司,20120925,投资级,A-1级短期债为最高级短期债，其还本付息能力最强，安全性最高。
106,041153006.IB,11中化工CP002,A-1,短期信用评级,联合资信评估有限公司,20111020,投资级,A-1级短期债为最高级短期债，其还本付息能力最强，安全性最高。
107,041154008.IB,11凌工业CP001,A-1,短期信用评级,联合资信评估有限公司,20110504,投资级,A-1级短期债为最高级短期债，其还本付息能力最强，安全性最高。
108,041154010.IB,11石河子CP002,A-1,短期信用评级,联合资信评估有限公司,20111021,投资级,A-1级短期债为最高级短期债，其还本付息能力最强，安全性最高。
109,041154010.IB,11石河子CP002,A-1,短期信用评级,联合资信评估有限公司,20120615,投资级,A-1级短期债为最高级短期债，其还本付息能力最强，安全性最高。
110,041154012.IB,11广汽CP001,A-1,短期信用评级,联合资信评估有限公司,20110914,投资级,A-1级短期债为最高级短期债，其还本付息能力最强，安全性最高。
111,041154013.IB,11海翼CP004,A-1,短期信用评级,联合资信评估有限公司,20111014,投资级,A-1级短期债为最高级短期债，其还本付息能力最强，安全性最高。
112,041154016.IB,11华侨城CP003,A-1,短期信用评级,联合资信评估有限公司,20110919,投资级,A-1级短期债为最高级短期债，其还本付息能力最强，安全性最高。
113,041154016.IB,11华侨城CP003,A-1,短期信用评级,联合资信评估有限公司,20121012,投资级,A-1级短期债为最高级短期债，其还本付息能力最强，安全性最高。
114,041154017.IB,11北大荒CP004,A-1,短期信用评级,联合资信评估有限公司,20111123,投资级,A-1级短期债为最高级短期债，其还本付息能力最强，安全性最高。
115,041154017.IB,11北大荒CP004,A-1,短期信用评级,联合资信评估有限公司,20120813,投资级,A-1级短期债为最高级短期债，其还本付息能力最强，安全性最高。
116,041155001.IB,11铁十六CP001,A-1,短期信用评级,联合资信评估有限公司,20110525,投资级,A-1级短期债为最高级短期债，其还本付息能力最强，安全性最高。
117,041156006.IB,11滇建工CP001,A-1,短期信用评级,联合资信评估有限公司,20110916,投资级,A-1级短期债为最高级短期债，其还本付息能力最强，安全性最高。
118,041156008.IB,11祥光CP002,A-1,短期信用评级,联合资信评估有限公司,20110905,投资级,A-1级短期债为最高级短期债，其还本付息能力最强，安全性最高。
119,041156008.IB,11祥光CP002,A-1,短期信用评级,联合资信评估有限公司,20120801,投资级,A-1级短期债为最高级短期债，其还本付息能力最强，安全性最高。
120,041156011.IB,11天士力CP001,A-1,短期信用评级,联合资信评估有限公司,20110823,投资级,A-1级短期债为最高级短期债，其还本付息能力最强，安全性最高。
121,041156011.IB,11天士力CP001,A-1,短期信用评级,联合资信评估有限公司,20120724,投资级,A-1级短期债为最高级短期债，其还本付息能力最强，安全性最高。
122,041156012.IB,11豫投资CP001,A-1,短期信用评级,联合资信评估有限公司,20110921,投资级,A-1级短期债为最高级短期债，其还本付息能力最强，安全性最高。
123,041156013.IB,11电网CP002,A-1,短期信用评级,联合资信评估有限公司,20111117,投资级,A-1级短期债为最高级短期债，其还本付息能力最强，安全性最高。
124,041156013.IB,11电网CP002,A-1,短期信用评级,联合资信评估有限公司,20121221,投资级,A-1级短期债为最高级短期债，其还本付息能力最强，安全性最高。
125,041158023.IB,11漳州股CP001,A-1,短期信用评级,联合资信评估有限公司,20111117,投资级,A-1级短期债为最高级短期债，其还本付息能力最强，安全性最高。
126,041158023.IB,11漳州股CP001,A-1,短期信用评级,联合资信评估有限公司,20121225,投资级,A-1级短期债为最高级短期债，其还本付息能力最强，安全性最高。
127,041158026.IB,11多氟多CP001,A-1,短期信用评级,联合资信评估有限公司,20111128,投资级,A-1级短期债为最高级短期债，其还本付息能力最强，安全性最高。
128,041158026.IB,11多氟多CP001,A-1,短期信用评级,联合资信评估有限公司,20121226,投资级,A-1级短期债为最高级短期债，其还本付息能力最强，安全性最高。
129,041158027.IB,11华天CP002,A-1,短期信用评级,联合资信评估有限公司,20111223,投资级,A-1级短期债为最高级短期债，其还本付息能力最强，安全性最高。
130,041158027.IB,11华天CP002,A-1,短期信用评级,联合资信评估有限公司,20120726,投资级,A-1级短期债为最高级短期债，其还本付息能力最强，安全性最高。
131,041158028.IB,11人福CP002,A-1,短期信用评级,联合资信评估有限公司,20111122,投资级,A-1级短期债为最高级短期债，其还本付息能力最强，安全性最高。
132,041159001.IB,11首旅CP001,A-1,短期信用评级,联合资信评估有限公司,20111027,投资级,A-1级短期债为最高级短期债，其还本付息能力最强，安全性最高。
133,041159006.IB,11同方CP001,A-1,短期信用评级,联合资信评估有限公司,20110523,投资级,A-1级短期债为最高级短期债，其还本付息能力最强，安全性最高。
134,041159006.IB,11同方CP001,A-1,短期信用评级,联合资信评估有限公司,20111025,投资级,A-1级短期债为最高级短期债，其还本付息能力最强，安全性最高。
135,041159006.IB,11同方CP001,A-1,短期信用评级,联合资信评估有限公司,20120831,投资级,A-1级短期债为最高级短期债，其还本付息能力最强，安全性最高。
136,041159007.IB,11蒙高新CP002,A-1,短期信用评级,联合资信评估有限公司,20110728,投资级,A-1级短期债为最高级短期债，其还本付息能力最强，安全性最高。
137,041159010.IB,11重汽CP002,A-1,短期信用评级,联合资信评估有限公司,20110915,投资级,A-1级短期债为最高级短期债，其还本付息能力最强，安全性最高。
138,041159014.IB,11苏汇鸿CP002,A-1,短期信用评级,联合资信评估有限公司,20111012,投资级,A-1级短期债为最高级短期债，其还本付息能力最强，安全性最高。
139,041159014.IB,11苏汇鸿CP002,A-1,短期信用评级,联合资信评估有限公司,20120905,投资级,A-1级短期债为最高级短期债，其还本付息能力最强，安全性最高。
140,041159015.IB,11盾安CP001,A-1,短期信用评级,联合资信评估有限公司,20110919,投资级,A-1级短期债为最高级短期债，其还本付息能力最强，安全性最高。
141,041159016.IB,11丝绸CP002,A-1,短期信用评级,联合资信评估有限公司,20111014,投资级,A-1级短期债为最高级短期债，其还本付息能力最强，安全性最高。
142,041159017.IB,11同方CP002,A-1,短期信用评级,联合资信评估有限公司,20111025,投资级,A-1级短期债为最高级短期债，其还本付息能力最强，安全性最高。
143,041159017.IB,11同方CP002,A-1,短期信用评级,联合资信评估有限公司,20120831,投资级,A-1级短期债为最高级短期债，其还本付息能力最强，安全性最高。
144,041158006.IB,11江西赛维CP001,A-2,短期信用评级,上海新世纪资信评估投资服务有限公司,20120926,投资级,还本付息能力较强，安全性较高。
145,011599401.IB,15龙控SCP001,A-1,短期信用评级,上海新世纪资信评估投资服务有限公司,20150623,投资级,最高级短期债券，其还本付息能力最强，安全性最高。
146,011599681.IB,15龙控SCP002,A-1,短期信用评级,上海新世纪资信评估投资服务有限公司,20151023,投资级,最高级短期债券，其还本付息能力最强，安全性最高。
147,011698051.IB,16粤垦投资SCP001,A-1,短期信用评级,上海新世纪资信评估投资服务有限公司,20160307,投资级,最高级短期债券，其还本付息能力最强，安全性最高。
148,011698051.IB,16粤垦投资SCP001,A-1,短期信用评级,上海新世纪资信评估投资服务有限公司,20170106,投资级,最高级短期债券，其还本付息能力最强，安全性最高。
149,011699987.IB,16南京化工SCP001,A-1,短期信用评级,上海新世纪资信评估投资服务有限公司,20160118,投资级,最高级短期债券，其还本付息能力最强，安全性最高。
150,011699987.IB,16南京化工SCP001,A-1,短期信用评级,上海新世纪资信评估投资服务有限公司,20161222,投资级,最高级短期债券，其还本付息能力最强，安全性最高。
151,011764074.IB,17兵团六师CP001,A-1,短期信用评级,上海新世纪资信评估投资服务有限公司,20170711,投资级,最高级短期债券，其还本付息能力最强，安全性最高。
152,011764074.IB,17兵团六师CP001,A-1,短期信用评级,上海新世纪资信评估投资服务有限公司,20180122,投资级,最高级短期债券，其还本付息能力最强，安全性最高。
153,011800217.IB,18永达SCP001,A-1,短期信用评级,上海新世纪资信评估投资服务有限公司,20180205,投资级,最高级短期债券，其还本付息能力最强，安全性最高。
154,041152006.IB,11万宝CP001,A-1,短期信用评级,上海新世纪资信评估投资服务有限公司,20110616,投资级,最高级短期债券，其还本付息能力最强，安全性最高。
155,041152006.IB,11万宝CP001,A-1,短期信用评级,上海新世纪资信评估投资服务有限公司,20120820,投资级,最高级短期债券，其还本付息能力最强，安全性最高。
156,041152016.IB,11南方水泥CP001,A-1,短期信用评级,上海新世纪资信评估投资服务有限公司,20110610,投资级,最高级短期债券，其还本付息能力最强，安全性最高。
157,041152016.IB,11南方水泥CP001,A-1,短期信用评级,上海新世纪资信评估投资服务有限公司,20120709,投资级,最高级短期债券，其还本付息能力最强，安全性最高。
158,041153009.IB,11东莞海龙CP001,A-1,短期信用评级,上海新世纪资信评估投资服务有限公司,20110906,投资级,最高级短期债券，其还本付息能力最强，安全性最高。
159,041153009.IB,11东莞海龙CP001,A-1,短期信用评级,上海新世纪资信评估投资服务有限公司,20120718,投资级,最高级短期债券，其还本付息能力最强，安全性最高。
160,041153010.IB,11宁交通CP002,A-1,短期信用评级,上海新世纪资信评估投资服务有限公司,20111108,投资级,最高级短期债券，其还本付息能力最强，安全性最高。
161,041153010.IB,11宁交通CP002,A-1,短期信用评级,上海新世纪资信评估投资服务有限公司,20120716,投资级,最高级短期债券，其还本付息能力最强，安全性最高。
162,041154001.IB,11志高CP001,A-1,短期信用评级,上海新世纪资信评估投资服务有限公司,20110401,投资级,最高级短期债券，其还本付息能力最强，安全性最高。
163,041154001.IB,11志高CP001,A-1,短期信用评级,上海新世纪资信评估投资服务有限公司,20120606,投资级,最高级短期债券，其还本付息能力最强，安全性最高。
164,041154004.IB,11沪电气CP003,A-1,短期信用评级,上海新世纪资信评估投资服务有限公司,20110825,投资级,最高级短期债券，其还本付息能力最强，安全性最高。
165,041154004.IB,11沪电气CP003,A-1,短期信用评级,上海新世纪资信评估投资服务有限公司,20120227,投资级,最高级短期债券，其还本付息能力最强，安全性最高。
166,041154011.IB,11大唐潮州CP001,A-1,短期信用评级,上海新世纪资信评估投资服务有限公司,20110920,投资级,最高级短期债券，其还本付息能力最强，安全性最高。
167,041154011.IB,11大唐潮州CP001,A-1,短期信用评级,上海新世纪资信评估投资服务有限公司,20120625,投资级,最高级短期债券，其还本付息能力最强，安全性最高。
168,041155003.IB,11沪城投CP001,A-1,短期信用评级,上海新世纪资信评估投资服务有限公司,20111019,投资级,最高级短期债券，其还本付息能力最强，安全性最高。
169,041155003.IB,11沪城投CP001,A-1,短期信用评级,上海新世纪资信评估投资服务有限公司,20120605,投资级,最高级短期债券，其还本付息能力最强，安全性最高。
170,041158002.IB,11中外运CP001,A-1,短期信用评级,上海新世纪资信评估投资服务有限公司,20110610,投资级,最高级短期债券，其还本付息能力最强，安全性最高。
171,041158002.IB,11中外运CP001,A-1,短期信用评级,上海新世纪资信评估投资服务有限公司,20120619,投资级,最高级短期债券，其还本付息能力最强，安全性最高。
172,041158006.IB,11江西赛维CP001,A-1,短期信用评级,上海新世纪资信评估投资服务有限公司,20110411,投资级,最高级短期债券，其还本付息能力最强，安全性最高。
173,041158006.IB,11江西赛维CP001,A-1,短期信用评级,上海新世纪资信评估投资服务有限公司,20120629,投资级,最高级短期债券，其还本付息能力最强，安全性最高。
174,041158006.IB,11江西赛维CP001,A-1,短期信用评级,上海新世纪资信评估投资服务有限公司,20120831,投资级,最高级短期债券，其还本付息能力最强，安全性最高。
175,041158012.IB,11上海港CP002,A-1,短期信用评级,上海新世纪资信评估投资服务有限公司,20111010,投资级,最高级短期债券，其还本付息能力最强，安全性最高。
